link,region,price_pcm,type,bedrooms,bathrooms
https://www.rightmove.co.uk/properties/160492415#/,East,3293,Flat,1,1
https://www.rightmove.co.uk/properties/161145035#/,East,2900,Flat,2,2
https://www.rightmove.co.uk/properties/158738747#/,East,3169,Flat,2,2
https://www.rightmove.co.uk/properties/161144987#/,East,1100,Studio,,
https://www.rightmove.co.uk/properties/161144882#/,East,2695,Flat,1,1
https://www.rightmove.co.uk/properties/161150777#/,East,2675,Flat,1,1
https://www.rightmove.co.uk/properties/161144834#/,East,2600,Apartment,2,2
https://www.rightmove.co.uk/properties/161144828#/,East,1712,Studio,,1
https://www.rightmove.co.uk/properties/159095855#/,East,2675,Apartment,2,2
https://www.rightmove.co.uk/properties/161144408#/,East,2250,Flat,2,2
https://www.rightmove.co.uk/properties/160086701#/,East,2396,Apartment,2,2
https://www.rightmove.co.uk/properties/161143643#/,East,4300,Apartment,2,2
https://www.rightmove.co.uk/properties/161143604#/,East,1800,Flat,1,1
https://www.rightmove.co.uk/properties/161143460#/,East,2500,Apartment,1,1
https://www.rightmove.co.uk/properties/161143370#/,East,1450,Flat,2,1
https://www.rightmove.co.uk/properties/161143283#/,East,1800,Flat,2,1
https://www.rightmove.co.uk/properties/161142998#/,East,2700,Flat,4,1
https://www.rightmove.co.uk/properties/161142251#/,East,1600,Apartment,,1
https://www.rightmove.co.uk/properties/159807425#/,East,3150,Flat,2,2
https://www.rightmove.co.uk/properties/161141654#/,East,2300,Apartment,2,2
https://www.rightmove.co.uk/properties/160088231#/,East,3250,Flat,2,1
https://www.rightmove.co.uk/properties/156750683#/,East,2860,Apartment,3,1
https://www.rightmove.co.uk/properties/161140358#/,East,1650,Flat,2,1
https://www.rightmove.co.uk/properties/161138729#/,East,3320,Apartment,2,1
https://www.rightmove.co.uk/properties/161139584#/,East,2999,Flat,1,1
https://www.rightmove.co.uk/properties/161139413#/,East,1842,Flat,1,1
https://www.rightmove.co.uk/properties/160365968#/,East,1700,Maisonette,2,1
https://www.rightmove.co.uk/properties/160391927#/,East,2650,Ground Flat,3,
https://www.rightmove.co.uk/properties/158032508#/,East,3000,Penthouse,2,2
https://www.rightmove.co.uk/properties/161139077#/,East,2750,Apartment,2,1
https://www.rightmove.co.uk/properties/161139089#/,East,2500,Flat,2,1
https://www.rightmove.co.uk/properties/161138996#/,East,2350,Apartment,2,2
https://www.rightmove.co.uk/properties/161138897#/,East,1550,Flat,1,1
https://www.rightmove.co.uk/properties/161167220#/,East,1725,Apartment,1,1
https://www.rightmove.co.uk/properties/161137997#/,East,2100,Flat,2,2
https://www.rightmove.co.uk/properties/161137991#/,East,1750,Apartment,1,1
https://www.rightmove.co.uk/properties/160191977#/,East,3250,Flat,2,2
https://www.rightmove.co.uk/properties/160044347#/,East,2400,Flat,2,2
https://www.rightmove.co.uk/properties/160349423#/,East,2500,Apartment,,1
https://www.rightmove.co.uk/properties/161137331#/,East,2650,Penthouse,2,2
https://www.rightmove.co.uk/properties/161137118#/,East,1600,Apartment,1,1
https://www.rightmove.co.uk/properties/159932267#/,East,2397,Apartment,2,2
https://www.rightmove.co.uk/properties/161136716#/,East,2249,Flat,,
https://www.rightmove.co.uk/properties/145105355#/,East,2297,Apartment,1,1
https://www.rightmove.co.uk/properties/160748186#/,East,1150,Studio,,1
https://www.rightmove.co.uk/properties/161136458#/,East,2000,Apartment,1,1
https://www.rightmove.co.uk/properties/121793615#/,East,2150,Apartment,1,1
https://www.rightmove.co.uk/properties/161136284#/,East,1550,Flat,1,1
https://www.rightmove.co.uk/properties/159714605#/,East,2900,Penthouse,2,2
https://www.rightmove.co.uk/properties/160710221#/,East,2500,Flat,2,2
https://www.rightmove.co.uk/properties/160221881#/,East,2400,Flat,2,2
https://www.rightmove.co.uk/properties/161135684#/,East,3098,Apartment,4,2
https://www.rightmove.co.uk/properties/160644092#/,East,2500,Flat,2,2
https://www.rightmove.co.uk/properties/161135453#/,East,4507,Flat,2,2
https://www.rightmove.co.uk/properties/161135429#/,East,2400,Apartment,2,2
https://www.rightmove.co.uk/properties/161135321#/,East,2947,Maisonette,3,1
https://www.rightmove.co.uk/properties/148511294#/,East,2167,Apartment,1,1
https://www.rightmove.co.uk/properties/159377744#/,East,2600,Flat,1,1
https://www.rightmove.co.uk/properties/155119352#/,East,4160,Flat,2,2
https://www.rightmove.co.uk/properties/161134541#/,East,3215,Flat,3,2
https://www.rightmove.co.uk/properties/161134379#/,East,1800,Flat,,1
https://www.rightmove.co.uk/properties/161134337#/,East,2350,Flat,2,2
https://www.rightmove.co.uk/properties/160214345#/,East,2396,Flat,2,2
https://www.rightmove.co.uk/properties/161134190#/,East,3270,Apartment,2,2
https://www.rightmove.co.uk/properties/161134169#/,East,2715,Apartment,1,1
https://www.rightmove.co.uk/properties/158513483#/,East,1550,Apartment,1,1
https://www.rightmove.co.uk/properties/161134001#/,East,2140,Studio,,1
https://www.rightmove.co.uk/properties/161133950#/,East,2450,Apartment,1,1
https://www.rightmove.co.uk/properties/161133602#/,East,5450,Apartment,3,2
https://www.rightmove.co.uk/properties/161132201#/,East,1675,Apartment,2,2
https://www.rightmove.co.uk/properties/160835213#/,East,2900,Flat,2,2
https://www.rightmove.co.uk/properties/160834157#/,East,2900,Flat,2,2
https://www.rightmove.co.uk/properties/161131811#/,East,1475,Apartment,1,1
https://www.rightmove.co.uk/properties/161131616#/,East,2410,Apartment,2,2
https://www.rightmove.co.uk/properties/65805234#/,East,1500,Flat,3,1
https://www.rightmove.co.uk/properties/161131517#/,East,2415,Apartment,2,2
https://www.rightmove.co.uk/properties/159520163#/,East,1550,Apartment,1,1
https://www.rightmove.co.uk/properties/161131367#/,East,2560,Apartment,2,2
https://www.rightmove.co.uk/properties/161131316#/,East,1600,Apartment,,1
https://www.rightmove.co.uk/properties/161131235#/,East,1805,Apartment,1,1
https://www.rightmove.co.uk/properties/161131073#/,East,1818,Apartment,1,1
https://www.rightmove.co.uk/properties/120746084#/,East,2700,Apartment,2,2
https://www.rightmove.co.uk/properties/161130929#/,East,1700,Flat,1,1
https://www.rightmove.co.uk/properties/159861773#/,East,2100,Apartment,1,1
https://www.rightmove.co.uk/properties/161130809#/,East,1950,Studio,,1
https://www.rightmove.co.uk/properties/161130812#/,East,2383,Flat,1,1
https://www.rightmove.co.uk/properties/161130542#/,East,2947,Flat,3,2
https://www.rightmove.co.uk/properties/161130479#/,East,2100,Flat,1,1
https://www.rightmove.co.uk/properties/161130395#/,East,2708,Studio,,1
https://www.rightmove.co.uk/properties/160966475#/,East,2000,Flat,3,1
https://www.rightmove.co.uk/properties/161130305#/,East,1970,Apartment,1,1
https://www.rightmove.co.uk/properties/161130413#/,East,1935,Apartment,1,1
https://www.rightmove.co.uk/properties/161129960#/,East,2308,Apartment,2,2
https://www.rightmove.co.uk/properties/161130176#/,East,2795,Apartment,1,
https://www.rightmove.co.uk/properties/161130155#/,East,2687,Apartment,1,1
https://www.rightmove.co.uk/properties/160751105#/,East,2349,Flat,2,1
https://www.rightmove.co.uk/properties/160783406#/,East,2396,Flat,2,2
https://www.rightmove.co.uk/properties/161130014#/,East,2775,Flat,3,2
https://www.rightmove.co.uk/properties/161129846#/,East,2375,Flat,2,2
https://www.rightmove.co.uk/properties/139785494#/,East,1800,Flat,1,
https://www.rightmove.co.uk/properties/161129690#/,East,1675,Flat,,1
https://www.rightmove.co.uk/properties/161129537#/,East,2410,Apartment,2,2
https://www.rightmove.co.uk/properties/161113637#/,East,2999,Apartment,2,2
https://www.rightmove.co.uk/properties/161129456#/,East,3250,Apartment,1,1
https://www.rightmove.co.uk/properties/161129312#/,East,1910,Apartment,1,1
https://www.rightmove.co.uk/properties/161129285#/,East,2075,Apartment,2,1
https://www.rightmove.co.uk/properties/161128886#/,East,2750,Flat,4,1
https://www.rightmove.co.uk/properties/161128859#/,East,1700,Flat,2,1
https://www.rightmove.co.uk/properties/160975664#/,East,3650,Apartment,2,2
https://www.rightmove.co.uk/properties/161128808#/,East,2000,Apartment,1,1
https://www.rightmove.co.uk/properties/161128688#/,East,1995,Studio,,1
https://www.rightmove.co.uk/properties/161128541#/,East,2560,Apartment,2,2
https://www.rightmove.co.uk/properties/161128466#/,East,2765,Apartment,2,2
https://www.rightmove.co.uk/properties/161128412#/,East,1800,Flat,2,1
https://www.rightmove.co.uk/properties/161128346#/,East,1800,Flat,2,1
https://www.rightmove.co.uk/properties/161127809#/,East,2370,Apartment,1,1
https://www.rightmove.co.uk/properties/161127659#/,East,2275,Apartment,1,1
https://www.rightmove.co.uk/properties/161127443#/,East,2150,Apartment,1,1
https://www.rightmove.co.uk/properties/161127494#/,East,2550,Apartment,1,1
https://www.rightmove.co.uk/properties/160837868#/,East,1800,Flat,1,1
https://www.rightmove.co.uk/properties/161127398#/,East,2200,Apartment,2,1
https://www.rightmove.co.uk/properties/161127281#/,East,2140,Apartment,1,1
https://www.rightmove.co.uk/properties/161127242#/,East,2700,Flat,2,2
https://www.rightmove.co.uk/properties/161127092#/,East,3390,Apartment,3,2
https://www.rightmove.co.uk/properties/159889352#/,East,2200,Maisonette,2,1
https://www.rightmove.co.uk/properties/161127884#/,East,2300,Maisonette,3,1
https://www.rightmove.co.uk/properties/161127032#/,East,2550,Apartment,1,1
https://www.rightmove.co.uk/properties/161126882#/,East,2070,Apartment,1,1
https://www.rightmove.co.uk/properties/161126957#/,East,2030,Flat,1,1
https://www.rightmove.co.uk/properties/161126141#/,East,2585,Apartment,2,2
https://www.rightmove.co.uk/properties/161125922#/,East,4500,Flat,2,2
https://www.rightmove.co.uk/properties/161125481#/,East,1800,Flat,1,1
https://www.rightmove.co.uk/properties/159431309#/,East,2250,Apartment,,1
https://www.rightmove.co.uk/properties/160962920#/,East,2687,Flat,2,2
https://www.rightmove.co.uk/properties/161125316#/,East,2100,Flat,2,2
https://www.rightmove.co.uk/properties/161124887#/,East,2705,Apartment,2,2
https://www.rightmove.co.uk/properties/161124779#/,East,2050,Apartment,1,1
https://www.rightmove.co.uk/properties/161124749#/,East,1825,Studio,,1
https://www.rightmove.co.uk/properties/161124665#/,East,2000,Apartment,2,1
https://www.rightmove.co.uk/properties/90514388#/,East,2600,Flat,2,1
https://www.rightmove.co.uk/properties/161124365#/,East,1750,Flat,1,1
https://www.rightmove.co.uk/properties/161124359#/,East,1900,Flat,2,2
https://www.rightmove.co.uk/properties/161124329#/,East,1250,Flat,,1
https://www.rightmove.co.uk/properties/161124158#/,East,2250,Flat,2,2
https://www.rightmove.co.uk/properties/161123672#/,East,4100,Maisonette,5,1
https://www.rightmove.co.uk/properties/159704396#/,East,2000,Apartment,2,
https://www.rightmove.co.uk/properties/161122187#/,East,1950,Ground Flat,2,1
https://www.rightmove.co.uk/properties/160627025#/,East,1750,Apartment,1,1
https://www.rightmove.co.uk/properties/161123477#/,East,4246,Flat,2,2
https://www.rightmove.co.uk/properties/161122817#/,East,2500,Flat,2,1
https://www.rightmove.co.uk/properties/161122787#/,East,1400,Flat,1,1
https://www.rightmove.co.uk/properties/161122676#/,East,1800,Flat,2,1
https://www.rightmove.co.uk/properties/161122622#/,East,3553,Flat,2,2
https://www.rightmove.co.uk/properties/161122487#/,East,2300,Flat,1,1
https://www.rightmove.co.uk/properties/160680002#/,East,1500,Flat,1,1
https://www.rightmove.co.uk/properties/161122379#/,East,2250,Flat,1,1
https://www.rightmove.co.uk/properties/161122355#/,East,2250,Flat,2,1
https://www.rightmove.co.uk/properties/160192502#/,East,2400,Flat,2,2
https://www.rightmove.co.uk/properties/161063675#/,East,2520,Apartment,2,2
https://www.rightmove.co.uk/properties/161122040#/,East,2167,Flat,1,1
https://www.rightmove.co.uk/properties/161121689#/,East,1400,Flat,1,1
https://www.rightmove.co.uk/properties/161121560#/,East,3700,Penthouse,3,2
https://www.rightmove.co.uk/properties/160187243#/,East,3800,Maisonette,3,1
https://www.rightmove.co.uk/properties/159935198#/,East,2401,Flat,2,2
